cookie_name,vendor,classification,initiator,duration,market,ownership,description,domain
rxvt,Dynatrace,Performance,Dynatrace (version 1.0.0),Session,Global,1st Party,This is a session cookie used to store two timestamps.,.americanexpress.com
BIGipServerorigin-gem1-443,F5,Essential,http only cookie,Session,Global,1st Party,This cookie is associated with a computer network load balancer by the website host to ensure requests are routed to the available service to maintain session. Cookie stores hexadecimal value which is used to make sure requests are routed to maintain session,www.americanexpress.com
BIGipServerorigin-gem2-443,F5,Essential,http only cookie,1 year,Global,1st Party,This cookie is associated with a computer network load balancer by the website host to ensure requests are routed to the available service to maintain session.Cookie stores hexadecimal value which is used to make sure requests are routed to maintain session ,www.americanexpress.com
TS0114bdae,F5,Essential,,Session ,Global,1st Party,American Express uses cookies from the vendor F5, of which some are cookies that take on the format ‘TS######’.  These cookies provide both load balancing and security functionality that support our core technical infrastructure.  Load balancing helps us to adequately distribute traffic to ensure proper connectivity and function to our web experiences and the underlying technical applications that support them.  The security in this case helps us to ensure the integrity of traffic on our site and block any malicious actors.  More information on these specific cookies can be found in the public domain. they are session cookies that always ensure secure and controlled connections between Amex web experiences and the applications that support themCookie stores a hexidecimal value
TS0139a03f,F5,Essential,,Session ,Global,1st Party,American Express uses cookies from the vendor F5, of which some are cookies that take on the format ‘TS######’.  These cookies provide both load balancing and security functionality that support our core technical infrastructure.  Load balancing helps us to adequately distribute traffic to ensure proper connectivity and function to our web experiences and the underlying technical applications that support them.  The security in this case helps us to ensure the integrity of traffic on our site and block any malicious actors.  More information on these specific cookies can be found in the public domain. they are session cookies that always ensure secure and controlled connections between Amex web experiences and the applications that support themCookie stores a hexidecimal value
li_gc,LinkedIn,Marketing,,6 months,Global,3rd Party,Used to store consent of guests regarding the use of cookies for non-essential purposes ,.linkedin.com
lidc,LinkedIn,Marketing,entrypoint.js,1 day,Global,3rd Party,To facilitate data center selection,.linkedin.com
TS01487cc5,F5,Essential,One Tag API (entrypoint.js),Session ,Global,1st Party,American Express uses cookies from the vendor F5, of which some are cookies that take on the format ‘TS######’.  These cookies provide both load balancing and security functionality that support our core technical infrastructure.  Load balancing helps us to adequately distribute traffic to ensure proper connectivity and function to our web experiences and the underlying technical applications that support them.  The security in this case helps us to ensure the integrity of traffic on our site and block any malicious actors.  More information on these specific cookies can be found in the public domain. they are session cookies that always ensure secure and controlled connections between Amex web experiences and the applications that support themCookie stores a hexidecimal value
TS019b486b,F5,Essential,One Tag API (entrypoint.js),Session ,Global,1st Party,American Express uses cookies from the vendor F5, of which some are cookies that take on the format ‘TS######’.  These cookies provide both load balancing and security functionality that support our core technical infrastructure.  Load balancing helps us to adequately distribute traffic to ensure proper connectivity and function to our web experiences and the underlying technical applications that support them.  The security in this case helps us to ensure the integrity of traffic on our site and block any malicious actors.  More information on these specific cookies can be found in the public domain. they are session cookies that always ensure secure and controlled connections between Amex web experiences and the applications that support themCookie stores a hexidecimal value
TS01b3a5dc,F5,Essential,,Session ,Global,1st Party,American Express uses cookies from the vendor F5, of which some are cookies that take on the format ‘TS######’.  These cookies provide both load balancing and security functionality that support our core technical infrastructure.  Load balancing helps us to adequately distribute traffic to ensure proper connectivity and function to our web experiences and the underlying technical applications that support them.  The security in this case helps us to ensure the integrity of traffic on our site and block any malicious actors.  More information on these specific cookies can be found in the public domain. they are session cookies that always ensure secure and controlled connections between Amex web experiences and the applications that support themCookie stores a hexidecimal value
JSESSIONID,GCT script (1st party amex),Marketing,,Session,Global,1st Party,JSESSIONID is a session cookie and is used by sites with JavaServer Pages (JSP). The cookie is used to maintain an anonymous user session by the server. Without this cookie, every page visited on a website would treat the user as a completely new visitor.It is a technical Cookie
ADRUM_BT1,LivePerson,Functional,,1 year,Global,3rd Party,Live Person is a third party vendor that provides the presentment and connectivity of the chat application in Amex Webpages. The scripts are essential to run the chat channel.This Cookie is used to detect errors on the website - this information is sent to the website's support staff in order to optimize the visitor's experience on the website.,accdn.lpsnmedia.net
ADRUM_Bta,LivePerson,Functional,,1 year,Global,3rd Party,Live Person is a third party vendor that provides the presentment and connectivity of the chat application in Amex Webpages. The scripts are essential to run the chat channel.This cookie is used to detect errors on the website - this information is sent to the website's support staff in order to optimize the visitor's experience on the website.This Cookie is used by LP to detect / report an issue on the page. ,accdn.lpsnmedia.net
LPSessionID,LivePerson,Functional,http only cookie,Session,Global,3rd Party,Live Person is a third party vendor that provides the presentment and connectivity of the chat application in Amex Webpages. The scripts are essential to run the chat channel.Preserves the visitor's session state across page requests.,va.v.liveperson.net
LPSID-14106077,LivePerson,Functional,One Tag API (entrypoint.js),6 months,Global,3rd Party,Live Person is a third party vendor that provides the presentment and connectivity of the chat application in Amex Webpages. The scripts are essential to run the chat channel.Preserves the visitor's session state across page requests.,.americanexpress.com
LPVID,LivePerson,Functional,One Tag API (entrypoint.js),1 day,Global,3rd Party,Live Person is a third party vendor that provides the presentment and connectivity of the chat application in Amex Webpages. The scripts are essential to run the chat channel.Used by LivePerson real time messaging platform to recognize the visitor on returning visits.,.americanexpress.com
LPVisitorID,LivePerson,Functional,,1 year,Global,3rd Party,Live Person is a third party vendor that provides the presentment and connectivity of the chat application in Amex Webpages. The scripts are essential to run the chat channel.Used by LivePerson real time messaging platform to recognize the visitor on returning visits.,va.v.liveperson.net
SameSite,LivePerson,Functional,,30 minutes,Global,3rd Party,Live Person is a third party vendor that provides the presentment and connectivity of the chat application in Amex Webpages. The scripts are essential to run the chat channel.This cookie is essential for the security of the website and visitor.   ,accdn.lpsnmedia.net
CookieConsent,UCM - 1st Party AXP,Essential,UCM.js,6 months,Global,1st Party,Used to capture and store user's consent selection,americanexpress.com
ucm-id,UCM - 1st Party AXP,Essential,UCM.js,6 months,Global,1st Party,Used to identify a user and their consent record. ,americanexpress.com
ucm-userid,UCM - 1st Party AXP,Essential,UCM.js,6 months,Global,1st Party,Used to identify a user and their consent record. ,americanexpress.com
UserMatchHistory,LinkedIn,Marketing,entrypoint.js,30 days,Global,3rd Party,LinkedIn Ads ID syncing,.linkedin.com
VISITOR_INFO1_LIVE,Youtube,Marketing,YouTube,180 days,Global,3rd Party,A cookie that YouTube sets that measures your bandwidth to determine whether you get the new player interface or the old.,.youtube.com
YSC,Youtube,Marketing,YouTube,Session,Global,3rd Party,YSC' is used by YouTube to remember user input and associate a user's actions.,.youtube.com
